Date,Close,High,Low,Open,dt
02/01/2014,182.95,184.07,182.48,183.98,2014-01-02
03/01/2014,182.79,183.6,182.63,183.21,2014-01-03
06/01/2014,182.4,183.56,182.08,183.47,2014-01-06
07/01/2014,183.45,183.79,182.95,183.09,2014-01-07
08/01/2014,183.54,183.83,182.89,183.45,2014-01-08
09/01/2014,183.62,184.13,182.79,184.1,2014-01-09
10/01/2014,184.07,184.22,183.01,183.95,2014-01-10
13/01/2014,181.7,184.18,181.34,183.71,2014-01-13
14/01/2014,183.68,183.77,181.95,182.28,2014-01-14
15/01/2014,184.67,184.94,184.01,184.1,2014-01-15
16/01/2014,184.41,184.5,183.83,184.28,2014-01-16
17/01/2014,183.61,184.45,183.32,184.1,2014-01-17
21/01/2014,184.19,184.77,183.05,184.7,2014-01-21
22/01/2014,184.34,184.57,183.91,184.49,2014-01-22
23/01/2014,182.78,183.4,181.82,183.36,2014-01-23
24/01/2014,178.88,181.66,178.88,181.6,2014-01-24
27/01/2014,178.01,179.52,177.12,179.06,2014-01-27
28/01/2014,179.06,179.3,178.12,178.14,2014-01-28
29/01/2014,177.32,178.55,176.88,177.56,2014-01-29
30/01/2014,179.32,179.81,178.26,178.86,2014-01-30
31/01/2014,178.1,179.29,176.92,177.02,2014-01-31
03/02/2014,174.17,178.37,173.83,177.95,2014-02-03
04/02/2014,175.39,175.84,174.34,174.96,2014-02-04
05/02/2014,175.14,175.56,173.71,174.79,2014-02-05
06/02/2014,177.42,177.48,175.22,175.58,2014-02-06
07/02/2014,179.69,179.87,177.73,178.31,2014-02-07
10/02/2014,180.0,180.07,179.21,179.7,2014-02-10
11/02/2014,181.95,182.44,180.06,180.16,2014-02-11
12/02/2014,182.08,182.83,181.71,182.22,2014-02-12
13/02/2014,183.05,183.2,180.83,180.85,2014-02-13
14/02/2014,184.01,184.36,182.67,182.84,2014-02-14
18/02/2014,184.25,184.49,183.65,184.19,2014-02-18
19/02/2014,183.02,184.95,182.87,183.76,2014-02-19
20/02/2014,184.16,184.52,182.6,183.27,2014-02-20
21/02/2014,183.91,184.89,183.8,184.49,2014-02-21
24/02/2014,184.99,186.15,184.2,184.28,2014-02-24
25/02/2014,184.8,185.59,184.23,185.03,2014-02-25
26/02/2014,184.83,185.6,184.33,185.12,2014-02-26
27/02/2014,185.84,185.84,184.37,184.58,2014-02-27
28/02/2014,186.33,187.15,185.05,185.78,2014-02-28
03/03/2014,184.93,185.45,183.75,184.69,2014-03-03
04/03/2014,187.69,187.98,186.75,186.75,2014-03-04
05/03/2014,187.73,188.07,187.45,187.72,2014-03-05
06/03/2014,188.18,188.61,187.89,188.21,2014-03-06
07/03/2014,188.21,188.96,187.43,188.86,2014-03-07
10/03/2014,188.18,188.23,187.08,187.94,2014-03-10
11/03/2014,187.2,188.71,186.8,188.44,2014-03-11
12/03/2014,187.26,187.35,185.9,186.31,2014-03-12
13/03/2014,185.19,187.99,184.66,187.84,2014-03-13
14/03/2014,184.61,185.8,184.44,184.79,2014-03-14
17/03/2014,186.34,186.77,185.51,185.59,2014-03-17
18/03/2014,187.69,187.91,186.51,186.68,2014-03-18
19/03/2014,186.68,187.94,185.47,187.7,2014-03-19
20/03/2014,187.76,187.89,185.92,186.25,2014-03-20
21/03/2014,186.21,188.17,186.03,187.72,2014-03-21
24/03/2014,185.41,187.07,184.62,186.81,2014-03-24
25/03/2014,186.34,186.94,185.27,186.37,2014-03-25
26/03/2014,184.96,187.34,184.95,187.03,2014-03-26
27/03/2014,184.62,185.34,183.9,184.77,2014-03-27
28/03/2014,185.48,186.42,185.0,185.11,2014-03-28
31/03/2014,187.02,187.3,186.47,186.65,2014-03-31
01/04/2014,188.25,188.36,187.45,187.62,2014-04-01
02/04/2014,188.88,189.13,188.14,188.5,2014-04-02
03/04/2014,188.63,189.22,188.05,189.17,2014-04-03
04/04/2014,186.39,189.7,186.1,189.64,2014-04-04
07/04/2014,184.31,186.26,183.96,185.9,2014-04-07
08/04/2014,185.11,185.4,183.59,184.21,2014-04-08
09/04/2014,187.12,187.15,185.06,185.6,2014-04-09
10/04/2014,183.15,187.17,182.93,187.09,2014-04-10
11/04/2014,181.48,183.42,181.31,182.17,2014-04-11
14/04/2014,182.95,183.37,181.44,182.93,2014-04-14
15/04/2014,184.23,184.33,181.51,183.32,2014-04-15
16/04/2014,186.13,186.14,184.65,185.47,2014-04-16
17/04/2014,186.39,186.91,185.56,185.88,2014-04-17
21/04/2014,187.05,187.1,186.21,186.44,2014-04-21
22/04/2014,187.86,188.4,187.13,187.23,2014-04-22
23/04/2014,187.46,187.92,187.3,187.81,2014-04-23
24/04/2014,187.82,188.39,186.93,188.37,2014-04-24
25/04/2014,186.31,187.33,185.87,187.21,2014-04-25
28/04/2014,186.9,187.69,184.96,187.05,2014-04-28
29/04/2014,187.73,188.04,187.08,187.48,2014-04-29
30/04/2014,188.39,188.5,187.18,187.44,2014-04-30
01/05/2014,188.32,188.84,187.73,188.22,2014-05-01
02/05/2014,188.07,189.14,187.78,188.31,2014-05-02
05/05/2014,188.44,188.55,186.62,187.14,2014-05-05
06/05/2014,186.82,188.13,186.74,188.0,2014-05-06
07/05/2014,187.9,187.97,186.01,187.43,2014-05-07
08/05/2014,187.69,189.05,187.08,187.67,2014-05-08
09/05/2014,188.02,188.04,186.83,187.69,2014-05-09
12/05/2014,189.78,189.88,188.75,188.76,2014-05-12
13/05/2014,189.95,190.42,189.77,190.01,2014-05-13
14/05/2014,189.05,189.88,188.79,189.79,2014-05-14
15/05/2014,187.38,188.72,186.48,188.67,2014-05-15
16/05/2014,188.08,188.13,186.72,187.51,2014-05-16
19/05/2014,188.74,188.89,187.52,187.69,2014-05-19
20/05/2014,187.53,188.67,187.07,188.65,2014-05-20
21/05/2014,189.12,189.22,188.06,188.1,2014-05-21
22/05/2014,189.6,189.98,188.86,189.18,2014-05-22
23/05/2014,190.37,190.48,189.68,189.75,2014-05-23
27/05/2014,191.54,191.58,190.95,191.05,2014-05-27
28/05/2014,191.35,191.82,191.06,191.52,2014-05-28
29/05/2014,192.38,192.38,191.33,191.82,2014-05-29
30/05/2014,192.65,192.8,192.03,192.18,2014-05-30
02/06/2014,192.9,192.99,191.97,192.95,2014-06-02
03/06/2014,192.81,192.9,192.25,192.4,2014-06-03
04/06/2014,193.17,193.3,192.26,192.46,2014-06-04
05/06/2014,194.45,194.65,192.7,193.41,2014-06-05
06/06/2014,195.38,195.43,194.78,194.87,2014-06-06
09/06/2014,195.58,196.05,195.17,195.35,2014-06-09
10/06/2014,195.6,195.6,194.92,195.33,2014-06-10
11/06/2014,194.94,195.12,194.48,194.9,2014-06-11
12/06/2014,193.53,194.8,193.11,194.65,2014-06-12
13/06/2014,194.14,194.32,193.3,193.9,2014-06-13
16/06/2014,194.3,194.7,193.66,193.89,2014-06-16
17/06/2014,194.82,194.97,193.81,194.02,2014-06-17
18/06/2014,196.25,196.37,194.4,194.83,2014-06-18
19/06/2014,196.49,196.6,195.8,196.43,2014-06-19
20/06/2014,195.95,196.06,195.7,196.03,2014-06-20
23/06/2014,195.88,196.05,195.52,195.97,2014-06-23
24/06/2014,194.7,196.5,194.48,195.53,2014-06-24
25/06/2014,195.56,195.78,194.25,194.25,2014-06-25
26/06/2014,195.44,195.63,194.13,195.61,2014-06-26
27/06/2014,195.8,195.88,194.88,194.98,2014-06-27
30/06/2014,195.71,196.16,195.53,195.7,2014-06-30
01/07/2014,197.06,197.63,196.13,196.19,2014-07-01
02/07/2014,197.24,197.48,196.96,197.05,2014-07-02
03/07/2014,198.05,198.29,197.23,197.79,2014-07-03
07/07/2014,197.54,197.98,197.22,197.82,2014-07-07
08/07/2014,196.27,197.22,195.76,197.15,2014-07-08
09/07/2014,197.13,197.29,196.31,196.73,2014-07-09
10/07/2014,196.34,196.86,195.06,195.22,2014-07-10
11/07/2014,196.59,196.75,195.78,196.21,2014-07-11
14/07/2014,197.59,197.86,197.44,197.61,2014-07-14
15/07/2014,197.23,198.1,196.36,197.72,2014-07-15
16/07/2014,197.97,198.26,197.42,198.11,2014-07-16
17/07/2014,195.72,198.1,195.43,197.35,2014-07-17
18/07/2014,197.72,197.91,196.24,196.35,2014-07-18
21/07/2014,197.3,197.5,196.43,197.09,2014-07-21
22/07/2014,198.19,198.56,197.87,198.01,2014-07-22
23/07/2014,198.65,198.85,198.1,198.5,2014-07-23
24/07/2014,198.65,199.06,198.45,198.84,2014-07-24
25/07/2014,197.71,198.26,197.33,198.09,2014-07-25
28/07/2014,197.79,198.09,196.62,197.76,2014-07-28
29/07/2014,196.95,198.45,196.94,198.17,2014-07-29
30/07/2014,196.99,197.91,196.16,197.65,2014-07-30
31/07/2014,193.05,195.78,193.04,195.61,2014-07-31
01/08/2014,192.49,193.76,191.57,192.57,2014-08-01
04/08/2014,193.88,194.3,192.05,192.87,2014-08-04
05/08/2014,191.98,193.6,191.31,193.1,2014-08-05
06/08/2014,192.05,192.89,191.08,191.11,2014-08-06
07/08/2014,191.01,193.13,190.55,192.94,2014-08-07
08/08/2014,193.24,193.37,190.95,191.46,2014-08-08
11/08/2014,193.79,194.66,193.71,193.97,2014-08-11
12/08/2014,193.54,194.15,192.94,193.61,2014-08-12
13/08/2014,194.91,195.06,193.96,194.29,2014-08-13
14/08/2014,195.74,195.75,194.98,195.17,2014-08-14
15/08/2014,195.73,196.65,194.31,196.47,2014-08-15
18/08/2014,197.36,197.45,196.69,196.8,2014-08-18
19/08/2014,198.39,198.54,197.65,197.83,2014-08-19
20/08/2014,198.91,199.16,198.08,198.13,2014-08-20
21/08/2014,199.49,199.76,198.93,199.09,2014-08-21
22/08/2014,199.16,199.69,198.74,199.33,2014-08-22
25/08/2014,200.17,200.59,199.86,200.14,2014-08-25
26/08/2014,200.34,200.82,200.28,200.33,2014-08-26
27/08/2014,200.27,200.57,199.94,200.44,2014-08-27
28/08/2014,200.14,200.27,199.39,199.59,2014-08-28
29/08/2014,200.7,200.73,199.82,200.45,2014-08-29
02/09/2014,200.59,201.0,199.86,200.97,2014-09-02
03/09/2014,200.51,201.41,200.22,201.39,2014-09-03
04/09/2014,200.22,201.58,199.66,200.84,2014-09-04
05/09/2014,201.13,201.19,199.41,200.16,2014-09-05
08/09/2014,200.6,201.21,200.0,200.92,2014-09-08
09/09/2014,199.33,200.55,198.91,200.41,2014-09-09
10/09/2014,200.08,200.2,198.77,199.43,2014-09-10
11/09/2014,200.28,200.33,199.12,199.27,2014-09-11
12/09/2014,199.13,200.12,198.56,200.1,2014-09-12
15/09/2014,198.99,199.32,198.38,199.16,2014-09-15
16/09/2014,200.49,200.84,198.5,198.61,2014-09-16
17/09/2014,200.72,201.68,199.75,200.77,2014-09-17
18/09/2014,201.77,201.85,201.1,201.36,2014-09-18
19/09/2014,200.73,201.73,200.29,201.52,2014-09-19
22/09/2014,199.14,200.38,198.73,200.35,2014-09-22
23/09/2014,198.0,199.26,197.95,198.43,2014-09-23
24/09/2014,199.57,199.69,197.52,198.05,2014-09-24
25/09/2014,196.32,199.05,196.32,199.04,2014-09-25
26/09/2014,197.95,198.39,196.42,196.69,2014-09-26
29/09/2014,197.52,197.89,196.05,196.2,2014-09-29
30/09/2014,197.0,198.3,196.61,197.69,2014-09-30
01/10/2014,194.34,196.77,193.91,196.7,2014-10-01
02/10/2014,194.39,195.06,192.35,194.17,2014-10-02
03/10/2014,196.53,196.94,195.08,195.68,2014-10-03
06/10/2014,196.26,197.6,195.58,197.34,2014-10-06
07/10/2014,193.26,195.72,193.25,195.28,2014-10-07
08/10/2014,196.64,196.92,192.36,193.38,2014-10-08
09/10/2014,192.68,196.6,192.58,196.33,2014-10-09
10/10/2014,190.52,193.65,190.51,192.69,2014-10-10
13/10/2014,187.38,191.15,187.3,190.46,2014-10-13
14/10/2014,187.75,189.82,187.04,188.42,2014-10-14
15/10/2014,186.29,186.88,181.92,185.16,2014-10-15
16/10/2014,186.24,187.58,182.89,183.06,2014-10-16
17/10/2014,188.54,189.75,187.62,188.42,2014-10-17
20/10/2014,190.32,190.45,188.07,188.13,2014-10-20
21/10/2014,194.05,194.2,191.48,191.68,2014-10-21
22/10/2014,192.71,194.91,192.61,194.41,2014-10-22
23/10/2014,194.95,196.2,194.26,194.62,2014-10-23
24/10/2014,196.38,196.49,194.49,195.22,2014-10-24
27/10/2014,196.11,196.45,195.03,195.73,2014-10-27
28/10/2014,198.37,198.42,196.73,196.82,2014-10-28
29/10/2014,198.14,199.12,196.8,198.55,2014-10-29
30/10/2014,199.45,199.95,197.4,197.58,2014-10-30
31/10/2014,201.66,201.82,200.77,201.78,2014-10-31
03/11/2014,201.75,202.45,201.31,201.92,2014-11-03
04/11/2014,201.11,201.6,200.06,201.23,2014-11-04
05/11/2014,202.37,202.59,201.45,202.53,2014-11-05
06/11/2014,203.18,203.26,201.64,202.39,2014-11-06
07/11/2014,203.37,203.6,202.61,203.18,2014-11-07
10/11/2014,203.97,204.04,203.13,203.38,2014-11-10
11/11/2014,204.17,204.31,203.65,204.06,2014-11-11
12/11/2014,203.98,204.24,203.31,203.35,2014-11-12
13/11/2014,204.17,204.83,203.21,204.17,2014-11-13
14/11/2014,204.25,204.49,203.72,204.1,2014-11-14
17/11/2014,204.38,204.58,203.65,203.85,2014-11-17
18/11/2014,205.55,205.92,204.44,204.44,2014-11-18
19/11/2014,205.19,205.55,204.3,205.31,2014-11-19
20/11/2014,205.59,205.71,204.18,204.26,2014-11-20
21/11/2014,206.68,207.72,205.98,207.64,2014-11-21
24/11/2014,207.28,207.39,206.91,207.17,2014-11-24
25/11/2014,207.18,207.79,206.8,207.53,2014-11-25
26/11/2014,207.66,207.76,207.03,207.29,2014-11-26
28/11/2014,206.89,207.87,206.87,207.49,2014-11-28
01/12/2014,205.8,206.54,205.38,206.39,2014-12-01
02/12/2014,207.09,207.34,205.79,205.81,2014-12-02
03/12/2014,207.91,208.15,207.1,207.3,2014-12-03
04/12/2014,207.66,208.26,206.7,207.54,2014-12-04
05/12/2014,208.0,208.47,207.55,207.87,2014-12-05
08/12/2014,206.62,208.12,205.93,207.52,2014-12-08
09/12/2014,206.46,206.6,203.91,204.37,2014-12-09
10/12/2014,203.17,205.98,202.93,205.91,2014-12-10
11/12/2014,204.17,206.19,203.71,203.89,2014-12-11
12/12/2014,200.87,203.82,200.85,202.64,2014-12-12
15/12/2014,199.48,202.53,198.78,201.98,2014-12-15
16/12/2014,197.93,202.4,197.86,198.57,2014-12-16
17/12/2014,201.9,202.34,198.29,198.45,2014-12-17
18/12/2014,206.8,212.97,203.92,204.74,2014-12-18
19/12/2014,206.53,207.33,205.62,206.43,2014-12-19
22/12/2014,207.45,207.47,206.46,206.74,2014-12-22
23/12/2014,207.75,208.23,207.51,208.17,2014-12-23
24/12/2014,207.9,208.34,207.72,208.02,2014-12-24
26/12/2014,208.42,208.85,208.25,208.3,2014-12-26
29/12/2014,208.73,208.97,208.14,208.22,2014-12-29
30/12/2014,207.61,208.37,207.51,208.21,2014-12-30
