Date,Close,High,Low,Open,dt
31/12/2014,205.52,208.19,205.39,208.0,2014-12-31
02/01/2015,205.41,206.88,204.18,206.38,2015-01-02
05/01/2015,201.8,204.37,201.35,204.17,2015-01-05
06/01/2015,199.82,202.72,198.85,202.09,2015-01-06
07/01/2015,202.34,202.72,200.88,201.42,2015-01-07
08/01/2015,205.92,206.16,203.99,204.0,2015-01-08
09/01/2015,204.18,206.42,203.51,206.4,2015-01-09
12/01/2015,202.62,204.6,201.92,204.41,2015-01-12
13/01/2015,202.07,205.48,200.51,204.12,2015-01-13
14/01/2015,200.9,201.1,198.57,199.65,2015-01-14
15/01/2015,199.02,202.01,198.88,201.63,2015-01-15
16/01/2015,201.55,201.82,198.55,198.77,2015-01-16
20/01/2015,202.04,202.72,200.17,202.4,2015-01-20
21/01/2015,203.09,203.66,200.94,201.5,2015-01-21
22/01/2015,206.09,206.26,202.33,203.99,2015-01-22
23/01/2015,204.95,206.1,204.81,205.79,2015-01-23
26/01/2015,205.46,205.56,203.85,204.71,2015-01-26
27/01/2015,202.75,204.12,201.74,202.97,2015-01-27
28/01/2015,200.07,204.29,199.91,204.17,2015-01-28
29/01/2015,201.98,202.3,198.68,200.38,2015-01-29
30/01/2015,199.44,202.17,199.13,200.57,2015-01-30
02/02/2015,201.87,202.03,197.86,200.06,2015-02-02
03/02/2015,204.8,204.85,202.55,203.0,2015-02-03
04/02/2015,204.07,205.38,203.51,203.92,2015-02-04
05/02/2015,206.18,206.3,204.77,204.86,2015-02-05
06/02/2015,205.51,207.24,204.92,206.56,2015-02-06
09/02/2015,204.59,205.64,204.13,204.77,2015-02-09
10/02/2015,206.81,207.12,204.82,205.88,2015-02-10
11/02/2015,206.94,207.45,205.83,206.61,2015-02-11
12/02/2015,208.9,208.99,207.68,207.89,2015-02-12
13/02/2015,209.8,209.84,208.76,209.07,2015-02-13
17/02/2015,210.16,210.32,209.1,209.4,2015-02-17
18/02/2015,210.15,210.22,209.34,209.66,2015-02-18
19/02/2015,210.01,210.42,209.24,209.41,2015-02-19
20/02/2015,211.27,211.33,208.73,209.48,2015-02-20
23/02/2015,211.21,211.21,210.48,210.95,2015-02-23
24/02/2015,211.84,212.05,210.76,211.12,2015-02-24
25/02/2015,211.61,212.24,211.22,211.66,2015-02-25
26/02/2015,211.41,211.71,210.65,211.52,2015-02-26
27/02/2015,210.69,211.58,210.64,211.26,2015-02-27
02/03/2015,212.0,212.06,210.72,210.78,2015-03-02
03/03/2015,211.14,211.59,210.08,211.47,2015-03-03
04/03/2015,210.23,210.49,209.06,210.4,2015-03-04
05/03/2015,210.47,210.8,209.85,210.62,2015-03-05
06/03/2015,207.48,209.94,207.1,209.42,2015-03-06
09/03/2015,208.38,208.79,207.58,207.74,2015-03-09
10/03/2015,204.98,206.81,204.97,206.71,2015-03-10
11/03/2015,204.51,205.5,204.4,205.29,2015-03-11
12/03/2015,207.11,207.18,205.2,205.26,2015-03-12
13/03/2015,205.84,206.93,204.58,206.78,2015-03-13
16/03/2015,208.65,208.69,206.68,206.71,2015-03-16
17/03/2015,207.98,208.42,206.98,207.69,2015-03-17
18/03/2015,210.44,211.27,206.62,207.37,2015-03-18
19/03/2015,209.48,210.29,209.03,209.96,2015-03-19
20/03/2015,210.42,211.02,209.61,209.7,2015-03-20
23/03/2015,210.04,211.11,210.01,210.42,2015-03-23
24/03/2015,208.81,210.4,208.74,209.85,2015-03-24
25/03/2015,205.75,209.35,205.71,209.07,2015-03-25
26/03/2015,205.28,206.37,204.12,204.96,2015-03-26
27/03/2015,205.72,205.95,204.9,205.14,2015-03-27
30/03/2015,208.26,208.61,206.96,206.98,2015-03-30
31/03/2015,206.44,208.1,206.36,207.26,2015-03-31
01/04/2015,205.76,206.42,204.51,206.39,2015-04-01
02/04/2015,206.38,206.98,205.4,205.62,2015-04-02
06/04/2015,207.84,208.45,205.21,205.37,2015-04-06
07/04/2015,207.26,208.76,207.24,207.85,2015-04-07
08/04/2015,207.99,208.51,207.08,207.55,2015-04-08
09/04/2015,208.93,209.18,207.19,207.78,2015-04-09
10/04/2015,210.04,210.09,208.96,209.19,2015-04-10
13/04/2015,209.08,210.63,209.03,209.87,2015-04-13
14/04/2015,209.48,209.71,208.1,208.85,2015-04-14
15/04/2015,210.45,211.04,209.95,210.05,2015-04-15
16/04/2015,210.36,210.98,209.79,210.03,2015-04-16
17/04/2015,207.93,209.23,207.01,208.95,2015-04-17
20/04/2015,209.85,210.25,208.96,209.06,2015-04-20
21/04/2015,209.62,210.86,209.24,210.67,2015-04-21
22/04/2015,210.64,210.85,208.9,210.02,2015-04-22
23/04/2015,211.18,211.94,210.01,210.16,2015-04-23
24/04/2015,211.65,211.97,211.11,211.66,2015-04-24
27/04/2015,210.76,212.48,210.54,212.33,2015-04-27
28/04/2015,211.42,211.5,209.33,210.74,2015-04-28
29/04/2015,210.55,211.29,209.6,210.37,2015-04-29
30/04/2015,208.46,210.35,207.62,209.88,2015-04-30
01/05/2015,210.69,210.77,209.28,209.41,2015-05-01
04/05/2015,211.34,212.02,211.1,211.23,2015-05-04
05/05/2015,208.9,211.46,208.73,211.03,2015-05-05
06/05/2015,208.03,209.93,206.76,209.56,2015-05-06
07/05/2015,208.87,209.38,207.52,207.92,2015-05-07
08/05/2015,211.62,211.86,210.78,210.87,2015-05-08
11/05/2015,210.61,211.89,210.52,211.57,2015-05-11
12/05/2015,209.96,210.63,208.62,209.61,2015-05-12
13/05/2015,210.04,211.22,209.74,210.47,2015-05-13
14/05/2015,212.21,212.32,210.91,211.24,2015-05-14
15/05/2015,212.47,212.61,211.86,212.44,2015-05-15
18/05/2015,213.09,213.4,212.16,212.24,2015-05-18
19/05/2015,213.01,213.57,212.69,213.24,2015-05-19
20/05/2015,212.86,213.78,212.5,213.15,2015-05-20
21/05/2015,213.47,213.75,212.51,212.71,2015-05-21
22/05/2015,212.97,213.54,212.91,213.04,2015-05-22
26/05/2015,210.73,212.5,210.2,212.4,2015-05-26
27/05/2015,212.68,212.98,210.85,211.25,2015-05-27
28/05/2015,212.49,212.59,211.63,212.33,2015-05-28
29/05/2015,211.1,212.43,210.82,212.38,2015-05-29
01/06/2015,211.57,212.34,210.62,211.94,2015-06-01
02/06/2015,211.37,212.19,210.27,211.04,2015-06-02
03/06/2015,211.93,212.67,211.33,211.98,2015-06-03
04/06/2015,210.22,211.78,209.75,211.07,2015-06-04
05/06/2015,209.79,210.58,208.98,209.95,2015-06-05
08/06/2015,208.47,209.82,208.39,209.64,2015-06-08
09/06/2015,208.45,209.1,207.69,208.45,2015-06-09
10/06/2015,210.95,211.41,209.31,209.37,2015-06-10
11/06/2015,211.6,212.09,211.2,211.5,2015-06-11
12/06/2015,210.0,210.84,209.68,210.64,2015-06-12
15/06/2015,209.09,209.45,207.79,208.64,2015-06-15
16/06/2015,210.26,210.35,208.72,208.93,2015-06-16
17/06/2015,210.62,211.32,209.36,210.62,2015-06-17
18/06/2015,212.75,213.34,211.17,211.31,2015-06-18
19/06/2015,210.45,211.55,210.44,211.46,2015-06-19
22/06/2015,211.9,212.59,211.64,211.9,2015-06-22
23/06/2015,212.03,212.44,211.57,212.14,2015-06-23
24/06/2015,210.49,212.17,210.48,211.72,2015-06-24
25/06/2015,209.81,211.25,209.77,211.11,2015-06-25
26/06/2015,209.83,210.58,209.16,210.29,2015-06-26
29/06/2015,205.44,208.82,205.33,208.04,2015-06-29
30/06/2015,205.89,207.32,205.28,207.26,2015-06-30
01/07/2015,207.52,208.03,206.56,207.73,2015-07-01
02/07/2015,207.3,208.27,206.81,208.07,2015-07-02
06/07/2015,206.7,207.65,205.53,205.77,2015-07-06
07/07/2015,207.99,208.17,204.11,206.96,2015-07-07
08/07/2015,204.48,206.76,204.25,206.42,2015-07-08
09/07/2015,204.89,207.35,204.88,207.04,2015-07-09
10/07/2015,207.46,207.98,206.49,207.29,2015-07-10
13/07/2015,209.76,209.9,208.94,208.99,2015-07-13
14/07/2015,210.68,211.05,209.65,209.72,2015-07-14
15/07/2015,210.63,211.28,210.04,210.73,2015-07-15
16/07/2015,212.25,212.3,211.58,211.87,2015-07-16
17/07/2015,212.45,212.55,211.8,212.29,2015-07-17
20/07/2015,212.61,213.18,212.21,212.75,2015-07-20
21/07/2015,211.75,212.74,211.39,212.43,2015-07-21
22/07/2015,211.34,211.77,210.89,210.93,2015-07-22
23/07/2015,210.17,211.65,209.75,211.53,2015-07-23
24/07/2015,207.98,210.37,207.6,210.3,2015-07-24
27/07/2015,206.76,207.55,206.26,206.94,2015-07-27
28/07/2015,209.3,209.5,206.8,207.78,2015-07-28
29/07/2015,210.74,211.04,209.31,209.48,2015-07-29
30/07/2015,210.79,211.02,209.42,210.16,2015-07-30
31/07/2015,210.47,211.45,210.16,211.42,2015-07-31
03/08/2015,209.76,210.53,208.65,210.46,2015-08-03
04/08/2015,209.35,210.25,208.8,209.7,2015-08-04
05/08/2015,210.09,211.31,209.73,210.45,2015-08-05
06/08/2015,208.47,210.41,207.65,210.29,2015-08-06
07/08/2015,207.93,208.34,206.87,208.16,2015-08-07
10/08/2015,210.58,210.67,209.28,209.28,2015-08-10
11/08/2015,208.63,209.47,207.76,208.98,2015-08-11
12/08/2015,208.89,209.14,205.36,207.11,2015-08-12
13/08/2015,208.63,209.55,208.01,208.73,2015-08-13
14/08/2015,209.4,209.51,208.26,208.45,2015-08-14
17/08/2015,210.58,210.58,208.16,208.71,2015-08-17
18/08/2015,209.97,210.68,209.7,210.27,2015-08-18
19/08/2015,208.32,210.01,207.35,209.1,2015-08-19
20/08/2015,203.91,207.17,203.91,206.51,2015-08-20
21/08/2015,197.54,202.92,197.53,201.73,2015-08-21
24/08/2015,189.48,195.84,182.4,187.33,2015-08-24
25/08/2015,187.24,195.45,187.06,195.43,2015-08-25
26/08/2015,194.56,194.79,188.37,192.08,2015-08-26
27/08/2015,199.28,199.41,195.21,197.02,2015-08-27
28/08/2015,199.28,199.84,197.92,198.5,2015-08-28
31/08/2015,197.6,199.13,197.01,198.11,2015-08-31
01/09/2015,191.61,194.77,190.73,193.12,2015-09-01
02/09/2015,195.46,195.46,192.42,194.65,2015-09-02
03/09/2015,195.55,198.05,194.96,196.26,2015-09-03
04/09/2015,192.56,193.86,191.61,192.85,2015-09-04
08/09/2015,197.51,197.61,195.17,195.94,2015-09-08
09/09/2015,194.79,199.47,194.35,199.34,2015-09-09
10/09/2015,195.88,197.22,194.25,194.54,2015-09-10
11/09/2015,196.77,196.77,194.53,195.38,2015-09-11
14/09/2015,196.0,197.01,195.43,196.97,2015-09-14
15/09/2015,198.49,198.99,196.09,196.6,2015-09-15
16/09/2015,200.19,200.41,198.41,198.82,2015-09-16
17/09/2015,199.76,202.89,199.28,200.02,2015-09-17
18/09/2015,195.42,197.56,194.96,195.7,2015-09-18
21/09/2015,196.46,197.68,195.21,196.44,2015-09-21
22/09/2015,193.88,194.46,192.56,193.88,2015-09-22
23/09/2015,193.57,194.67,192.91,194.11,2015-09-23
24/09/2015,192.93,193.45,190.56,192.15,2015-09-24
25/09/2015,192.81,195.0,191.81,194.64,2015-09-25
28/09/2015,187.93,191.91,187.64,191.78,2015-09-28
29/09/2015,188.05,189.74,186.93,188.26,2015-09-29
30/09/2015,191.67,191.82,189.44,190.37,2015-09-30
01/10/2015,192.15,192.49,189.82,192.08,2015-10-01
02/10/2015,194.98,194.98,189.12,189.77,2015-10-02
05/10/2015,198.5,198.74,196.33,196.46,2015-10-05
06/10/2015,197.82,198.98,197.0,198.31,2015-10-06
07/10/2015,199.45,199.82,197.48,198.9,2015-10-07
08/10/2015,201.22,201.55,198.59,198.95,2015-10-08
09/10/2015,201.36,201.9,200.58,201.37,2015-10-09
12/10/2015,201.55,201.76,200.91,201.42,2015-10-12
13/10/2015,200.22,202.16,200.05,200.65,2015-10-13
14/10/2015,199.27,200.87,198.94,200.18,2015-10-14
15/10/2015,202.33,202.34,199.64,200.08,2015-10-15
16/10/2015,203.14,203.29,201.92,202.83,2015-10-16
19/10/2015,203.33,203.37,202.13,202.5,2015-10-19
20/10/2015,203.07,203.84,202.55,202.85,2015-10-20
21/10/2015,201.82,203.79,201.65,203.61,2015-10-21
22/10/2015,205.22,205.51,202.81,202.98,2015-10-22
23/10/2015,207.51,207.95,206.3,207.25,2015-10-23
26/10/2015,206.97,207.37,206.56,207.3,2015-10-26
27/10/2015,206.58,207.0,205.79,206.2,2015-10-27
28/10/2015,208.96,208.97,206.21,206.97,2015-10-28
29/10/2015,208.87,209.27,208.21,208.34,2015-10-29
30/10/2015,207.85,209.44,207.83,209.06,2015-10-30
02/11/2015,210.37,210.62,208.17,208.32,2015-11-02
03/11/2015,210.96,211.66,209.7,209.97,2015-11-03
04/11/2015,210.38,211.5,209.72,211.35,2015-11-04
05/11/2015,210.12,210.98,209.09,210.43,2015-11-05
06/11/2015,210.02,210.32,208.46,209.74,2015-11-06
09/11/2015,208.06,209.49,206.95,209.31,2015-11-09
10/11/2015,208.51,208.6,207.19,207.5,2015-11-10
11/11/2015,207.71,208.94,207.66,208.88,2015-11-11
12/11/2015,204.89,207.06,204.82,206.5,2015-11-12
13/11/2015,202.54,204.67,202.44,204.35,2015-11-13
16/11/2015,205.6,205.64,202.18,202.32,2015-11-16
17/11/2015,205.38,207.04,204.88,205.99,2015-11-17
18/11/2015,208.71,208.9,205.99,206.04,2015-11-18
19/11/2015,208.53,209.05,208.2,208.59,2015-11-19
20/11/2015,209.35,210.12,208.86,209.45,2015-11-20
23/11/2015,209.06,209.98,208.52,209.38,2015-11-23
24/11/2015,209.38,209.83,207.41,207.87,2015-11-24
25/11/2015,209.32,209.74,209.01,209.5,2015-11-25
27/11/2015,209.51,209.8,208.86,209.43,2015-11-27
30/11/2015,208.67,209.89,208.56,209.75,2015-11-30
01/12/2015,210.74,210.82,209.11,209.44,2015-12-01
02/12/2015,208.5,211.0,208.23,210.61,2015-12-02
03/12/2015,205.6,209.15,204.75,208.83,2015-12-03
04/12/2015,209.63,209.97,205.93,206.08,2015-12-04
07/12/2015,208.29,209.25,207.2,209.22,2015-12-07
08/12/2015,206.96,208.04,205.78,206.48,2015-12-08
09/12/2015,205.36,208.68,204.18,206.19,2015-12-09
10/12/2015,205.82,207.43,205.14,205.44,2015-12-10
11/12/2015,201.85,204.14,201.51,203.36,2015-12-11
14/12/2015,202.99,203.05,199.95,202.07,2015-12-14
15/12/2015,205.09,206.11,202.87,204.7,2015-12-15
16/12/2015,207.98,208.39,204.8,206.37,2015-12-16
17/12/2015,204.89,208.48,204.84,208.4,2015-12-17
18/12/2015,199.96,202.93,199.96,202.75,2015-12-18
21/12/2015,201.65,201.88,200.09,201.43,2015-12-21
22/12/2015,203.51,203.85,201.55,202.72,2015-12-22
23/12/2015,206.02,206.07,204.58,204.71,2015-12-23
24/12/2015,205.49,206.33,205.35,205.72,2015-12-24
28/12/2015,205.19,205.26,203.94,204.86,2015-12-28
29/12/2015,207.43,207.79,206.47,206.51,2015-12-29
30/12/2015,205.94,207.21,205.76,207.11,2015-12-30
31/12/2015,203.93,205.89,203.87,205.13,2015-12-31
